,0
"fBodyAcc-bandsEnergy()-1,24.2",0.00028466199786992543
tBodyGyroMag-iqr(),0.0002829961372463829
tBodyAcc-mean()-Y,0.0002824286833597709
tBodyAccMag-mean(),0.0002818362300750499
tBodyAccJerk-std()-Z,0.00028051846371447676
"tBodyAccJerk-arCoeff()-X,1",0.00028051185755214854
"angle(tBodyAccMean,gravity)",0.000280339429712862
fBodyAccJerk-energy()-Z,0.0002794883367708488
tBodyGyroJerk-std()-Z,0.0002787013821053265
"fBodyAccJerk-bandsEnergy()-41,48",0.00027791358165837817
fBodyBodyGyroJerkMag-max(),0.00027725775314218137
fBodyAccJerk-kurtosis()-X,0.00027650509899588264
"fBodyAcc-bandsEnergy()-25,32.2",0.00027622820799436023
tBodyAccJerkMag-entropy(),0.0002750341628468695
tBodyGyro-min()-Z,0.0002730118107593475
"tBodyGyro-arCoeff()-X,4",0.00027267683669919486
fBodyBodyGyroMag-std(),0.000271915038032799
fBodyAcc-main()-X,0.00027096222918273873
fBodyGyro-meanFreq()-Z,0.00027038632483943943
"fBodyAccJerk-bandsEnergy()-25,32.1",0.0002702666731555806
"fBodyAcc-bandsEnergy()-25,48.1",0.000269886201028885
fBodyAcc-skewness()-Z,0.0002693654008869708
tBodyAcc-min()-Z,0.0002661984519392519
"tBodyAcc-arCoeff()-X,4",0.00026578302325685083
"fBodyGyro-bandsEnergy()-33,48.2",0.000265114752923506
fBodyAccMag-kurtosis(),0.0002650153605141696
tBodyAccJerk-max()-Z,0.0002640576238470717
tBodyGyro-std()-Y,0.0002633355829417892
"fBodyAccJerk-bandsEnergy()-33,40.1",0.0002589923794589664
fBodyGyro-min()-Z,0.0002579598331848573
"tBodyGyroJerk-arCoeff()-Z,3",0.00025642586185500486
"fBodyGyro-bandsEnergy()-25,48.1",0.0002562381674711963
"fBodyGyro-bandsEnergy()-33,40",0.0002556717466159937
fBodyAcc-energy()-Y,0.000255565884226623
fBodyAccJerk-mean()-Z,0.00025268399650249697
fBodyAccJerk-skewness()-X,0.00025074092959194704
"fBodyAcc-bandsEnergy()-49,64.2",0.00024849447180422897
fBodyGyro-meanFreq()-Y,0.0002480712742917181
tBodyGyroJerk-entropy()-Z,0.0002475246347736314
"tBodyAccJerk-arCoeff()-Y,4",0.0002464665342887513
tBodyAcc-entropy()-Y,0.0002456674730285181
"fBodyAcc-bandsEnergy()-41,48",0.0002454337474517181
"fBodyAccJerk-bandsEnergy()-17,32",0.00024344533958452541
fBodyAccJerk-kurtosis()-Y,0.00024343531178378536
tBodyGyroJerkMag-arCoeff()4,0.00024180190357266822
fBodyAccMag-skewness(),0.0002398362692782557
fBodyAccJerk-max()-Z,0.000239614411052614
tBodyGyroJerk-energy()-Z,0.00023856113734318433
"fBodyAcc-bandsEnergy()-17,24",0.00023808277888101015
"tBodyAcc-arCoeff()-X,2",0.00023737405551485784
fBodyAcc-maxInds-Z,0.0002373605088912148
fBodyAcc-min()-X,0.00023711569678395734
fBodyAcc-min()-Z,0.00023638239823373493
tGravityAccMag-arCoeff()3,0.00023606954478157545
fBodyAccJerk-skewness()-Z,0.00023321627089202337
"fBodyAcc-bandsEnergy()-33,40.2",0.0002324449199761128
"fBodyGyro-bandsEnergy()-33,40.2",0.00023207727967282683
"fBodyGyro-bandsEnergy()-17,24",0.00023140274640274497
"fBodyAccJerk-bandsEnergy()-25,48",0.0002311817661384116
"fBodyAcc-bandsEnergy()-1,16.2",0.0002307711607994331
tBodyGyroJerkMag-mad(),0.0002306569330578739
"fBodyGyro-bandsEnergy()-25,32",0.0002280421162506606
"fBodyAccJerk-bandsEnergy()-49,56.2",0.00022761913932043613
"tBodyGyroJerk-arCoeff()-Z,1",0.00022648387677164049
tBodyGyroJerk-iqr()-Y,0.0002259581087182898
"tBodyGyroJerk-arCoeff()-X,2",0.0002258280483991392
tBodyGyroJerkMag-arCoeff()1,0.0002257805904938114
fBodyAccJerk-kurtosis()-Z,0.00022498903848855743
tBodyGyroJerk-mean()-Z,0.00022462481747250932
tBodyGyroJerkMag-iqr(),0.00022258121214903306
fBodyBodyGyroJerkMag-entropy(),0.00022180895416768786
tBodyGyroJerkMag-entropy(),0.00022168452255500408
"fBodyAccJerk-bandsEnergy()-33,48.2",0.00022139627403120024
tGravityAcc-entropy()-Z,0.0002206738928750683
"fBodyGyro-bandsEnergy()-57,64",0.00021986706389748079
"fBodyGyro-bandsEnergy()-17,24.2",0.00021970326401683164
tBodyAcc-mad()-Z,0.00021965605295591904
fBodyBodyGyroJerkMag-mean(),0.00021961559261939872
fBodyBodyGyroJerkMag-std(),0.0002194794843957794
"fBodyAcc-bandsEnergy()-25,32.1",0.0002193920502594468
"tBodyGyroJerk-arCoeff()-Y,1",0.00021675787904791403
tBodyAccJerk-iqr()-Z,0.0002165908781419602
tBodyAcc-max()-Y,0.00021644970414879322
fBodyBodyGyroMag-mad(),0.00021581638795738548
"fBodyAcc-bandsEnergy()-57,64",0.0002151279737752417
fBodyBodyGyroJerkMag-meanFreq(),0.0002136217484187361
fBodyAcc-iqr()-Z,0.00021333955135547023
tBodyAcc-max()-Z,0.00021166047831593378
tBodyGyroJerkMag-std(),0.00021136912678459293
"fBodyGyro-bandsEnergy()-49,56",0.00021084314861124332
"fBodyAccJerk-bandsEnergy()-25,32",0.00021004634530592342
tBodyAccJerk-min()-X,0.00020927774118294692
fBodyAcc-mean()-Y,0.00020896924819072647
tBodyAcc-mean()-Z,0.00020828461404748754
"tBodyGyroJerk-arCoeff()-Z,2",0.0002079037327383182
fBodyBodyGyroJerkMag-kurtosis(),0.00020717916915424195
"fBodyGyro-bandsEnergy()-57,64.2",0.0002071789913556047
tBodyGyroMag-max(),0.000205409285299309
tBodyGyroJerkMag-arCoeff()3,0.00020453062672484077
"tBodyAcc-arCoeff()-Y,4",0.0002032259179199887
"tBodyAccJerk-arCoeff()-Y,1",0.00020290528201927628
"tBodyGyro-arCoeff()-Y,2",0.00020092552222072748
fBodyAccJerk-std()-Z,0.00019995990701696768
"fBodyGyro-bandsEnergy()-25,48.2",0.0001990025871857525
tBodyGyroJerkMag-min(),0.00019793920971031536
tBodyAccJerkMag-arCoeff()3,0.000197409643194453
"fBodyGyro-bandsEnergy()-33,48",0.00019669283884334612
tBodyGyroMag-std(),0.00019638864807121123
"tBodyAccJerk-arCoeff()-Z,3",0.00019610679333046424
"fBodyAccJerk-bandsEnergy()-57,64.2",0.00019557326584031666
"tBodyAcc-arCoeff()-X,3",0.00019556218174536272
tBodyGyroMag-energy(),0.0001954373421683047
tBodyAcc-min()-Y,0.00019500786004955772
tGravityAccMag-mad(),0.00019430419546226819
"tBodyAcc-arCoeff()-Z,2",0.0001941247028477567
tBodyGyro-min()-Y,0.00019392315479360988
fBodyAcc-entropy()-Z,0.00019282920712512642
tBodyAccJerk-iqr()-X,0.00019043831886535924
"tBodyGyroJerk-arCoeff()-Y,3",0.0001856649086796617
"tBodyGyro-arCoeff()-Z,3",0.00018555656670476677
"fBodyAcc-bandsEnergy()-25,32",0.00018502771524361403
tBodyAccMag-arCoeff()4,0.00018350491325620617
tBodyGyroJerkMag-arCoeff()2,0.000182802340108219
"fBodyAcc-bandsEnergy()-57,64.2",0.0001815217599205717
"fBodyGyro-bandsEnergy()-49,64.2",0.00018138157935459684
"tBodyAccJerk-arCoeff()-X,3",0.00018110447554505645
"fBodyAcc-bandsEnergy()-49,64.1",0.00017993411373302932
tBodyGyroMag-arCoeff()2,0.00017919036561656239
tBodyGyroMag-arCoeff()1,0.00017855733986942124
fBodyBodyGyroJerkMag-maxInds,0.00017834216220110631
tBodyGyroMag-arCoeff()4,0.00017744171779162353
"fBodyAccJerk-bandsEnergy()-49,64",0.00017626032844595462
"tBodyAccJerk-arCoeff()-Y,3",0.0001753256884599454
tBodyAccJerk-mean()-Z,0.00017509266930776084
tBodyGyroMag-sma(),0.00017464516660084685
"tBodyGyro-arCoeff()-Y,4",0.00017454671458799046
fBodyGyro-sma(),0.00017313878984808473
tBodyGyroJerk-mad()-Z,0.00017309993496119697
"tBodyAcc-arCoeff()-Z,3",0.0001727646828243968
fBodyBodyGyroMag-mean(),0.00017240383328846526
fBodyAcc-maxInds-Y,0.0001716515018117238
fBodyBodyGyroJerkMag-iqr(),0.0001698878997152162
tBodyAccJerkMag-min(),0.00016967636558281256
fBodyAcc-min()-Y,0.00016845680857343373
"fBodyAccJerk-bandsEnergy()-49,64.1",0.000166730157592209
"tBodyGyro-arCoeff()-X,2",0.00016518951752100247
fBodyAccJerk-min()-Y,0.00016489837070353
fBodyBodyGyroJerkMag-energy(),0.0001646209355414634
fBodyBodyGyroMag-max(),0.00016437703019876986
tBodyGyroJerk-max()-Z,0.00016399521568381283
